state,population,crime_rate
Alabama,4779736,5.7
Alaska,710231,5.6
Arizona,6392017,4.7
Arkansas,2915918,5.6
California,37253956,4.4
Colorado,5029196,2.8
Connecticut,3574097,2.4
Delaware,897934,5.8
Florida,18801310,5.8
Georgia,9687653,5.7
Hawaii,1360301,1.8
Idaho,1567582,2
Illinois,12830632,5.3
Indiana,6483802,5
Iowa,3046355,1.9
Kansas,2853118,3.1
Kentucky,4339367,3.6
Louisiana,4533372,10.3
Maine,1328361,1.6
Maryland,5773552,6.1
Massachusetts,6547629,2
Michigan,9883640,5.4
Minnesota,5303925,1.6
Mississippi,2967297,8.6
Missouri,5988927,6.6
Montana,989415,3.6
Nebraska,1826341,2.9
Nevada,2700551,6
New Hampshire,1316470,0.9
New Jersey,8791894,3.9
New Mexico,2059179,4.8
New York,19378102,3.1
North Carolina,9535483,5.1
North Dakota,672591,3
Ohio,11536504,4
Oklahoma,3751351,4.5
Oregon,3831074,2
Pennsylvania,12702379,4.8
Rhode Island,1052567,2.4
South Carolina,4625364,6.4
South Dakota,814180,2.3
Tennessee,6346105,5.7
Texas,25145561,4.4
Utah,2763885,2.3
Vermont,625741,1.6
Virginia,8001024,4.1
Washington,6724540,2.5
West Virginia,1852994,4
Wisconsin,5686986,2.9
Wyoming,563626,2.7
