Income,Age
14.891,34
106.025,82
104.593,71
148.924,36
55.882,68
80.18,77
20.996,37
71.408,87
15.125,66
71.061,41
63.095,30
15.045,64
80.616,57
43.682,49
19.144,75
20.089,57
53.598,73
36.496,69
49.57,28
42.079,44
17.7,63
37.348,72
20.103,61
64.027,48
10.742,57
14.09,25
42.471,44
32.793,44
186.634,41
26.813,55
34.142,47
28.941,43
134.181,48
31.367,30
20.15,25
23.35,49
62.413,71
30.007,69
11.795,25
13.647,47
34.95,54
113.659,66
44.158,66
36.929,24
31.861,25
77.38,50
19.531,64
44.646,49
44.522,72
43.479,49
36.362,49
39.705,27
44.205,32
16.304,66
15.333,47
32.916,60
57.1,79
76.273,65
10.354,70
51.872,81
35.51,35
21.238,59
30.682,77
14.132,75
32.164,79
12,28
113.829,38
11.187,69
27.847,78
49.502,55
24.889,75
58.781,81
22.939,47
23.989,31
16.103,45
33.017,28
30.622,68
20.936,30
110.968,45
15.354,65
27.369,40
53.48,83
23.672,63
19.225,38
43.54,69
152.298,41
55.367,33
11.741,59
15.56,57
59.53,52
20.191,42
48.498,47
30.733,51
16.479,26
38.009,45
14.084,46
14.312,59
26.067,74
36.295,68
83.851,47
21.153,41
17.976,70
68.713,56
146.183,66
15.846,53
12.031,58
16.819,74
39.11,72
107.986,64
13.561,37
34.537,57
28.575,60
46.007,42
69.251,30
16.482,41
40.442,81
35.177,62
91.362,47
27.039,40
23.012,81
27.241,67
148.08,83
62.602,84
11.808,77
29.564,30
27.578,34
26.427,50
57.202,72
123.299,89
18.145,56
23.793,56
10.726,46
23.283,49
21.455,80
34.664,77
44.473,81
54.663,70
36.355,35
21.374,74
107.841,87
39.831,32
91.876,33
103.893,84
19.636,64
17.392,32
19.529,51
17.055,55
23.857,56
15.184,69
13.444,44
63.931,28
35.864,66
41.419,24
92.112,32
55.056,31
19.537,34
31.811,75
56.256,72
42.357,83
53.319,53
12.238,67
31.353,81
63.809,56
13.676,80
76.782,44
25.383,46
35.691,35
29.403,37
27.47,32
27.33,36
34.772,57
36.934,63
76.348,60
14.887,58
121.834,54
30.132,52
24.05,32
22.379,34
28.316,29
58.026,67
10.635,69
46.102,81
58.929,66
80.861,29
158.889,62
30.42,30
36.472,52
23.365,75
83.869,83
58.351,85
55.187,50
124.29,52
28.508,56
130.209,39
30.406,79
23.883,73
93.039,67
50.699,84
27.349,51
10.403,43
23.949,40
73.914,67
21.038,58
68.206,40
57.337,45
10.793,29
23.45,78
10.842,37
51.345,46
151.947,91
24.543,62
29.567,25
39.145,66
39.422,44
34.909,62
41.025,79
15.476,60
12.456,65
10.627,71
38.954,76
44.847,53
98.515,78
33.437,44
27.512,72
121.709,50
15.079,28
59.879,78
66.989,47
69.165,34
69.943,76
33.214,59
25.124,29
15.741,39
11.603,71
69.656,41
10.503,25
42.529,37
60.579,38
26.532,58
27.952,35
29.705,71
15.602,36
20.918,47
58.165,56
22.561,66
34.509,80
19.588,59
36.364,50
15.717,38
22.574,43
10.363,47
28.474,66
72.945,64
85.425,60
36.508,79
58.063,50
25.936,71
15.629,60
41.4,36
33.657,55
67.937,63
180.379,67
10.588,66
29.725,52
27.999,55
40.885,46
88.83,86
29.638,29
25.988,82
39.055,48
15.866,39
44.978,30
30.413,25
16.751,48
30.55,81
163.329,50
23.106,50
41.532,50
128.04,78
54.319,59
53.401,35
36.142,33
63.534,50
49.927,75
14.711,67
18.967,41
18.036,48
60.449,69
16.711,42
10.852,30
26.37,78
24.088,56
51.532,31
140.672,46
42.915,42
27.272,67
65.896,49
55.054,74
20.791,70
24.919,76
21.786,50
31.335,38
59.855,46
44.061,79
82.706,64
24.46,50
45.12,80
75.406,41
14.956,33
75.257,34
33.694,52
23.375,57
27.825,63
92.386,75
115.52,69
14.479,43
52.179,57
68.462,71
18.951,82
27.59,54
16.279,78
25.078,27
27.229,51
182.728,98
31.029,66
17.765,66
125.48,82
49.166,68
41.192,54
94.193,44
20.405,72
12.581,48
62.328,83
21.011,68
24.23,64
24.314,23
32.856,68
12.414,32
41.365,45
149.316,80
27.794,35
13.234,77
14.595,37
10.735,44
48.218,39
30.012,33
21.551,51
160.231,69
13.433,70
48.577,71
30.002,70
61.62,71
104.483,41
41.868,47
12.068,44
180.682,58
34.48,36
39.609,40
30.111,81
12.335,79
53.566,82
53.217,46
26.162,62
64.173,80
128.669,67
113.772,69
61.069,56
23.793,70
89,37
71.682,57
35.61,40
39.116,75
19.782,46
55.412,37
29.4,76
20.974,44
87.625,46
28.144,51
19.349,33
53.308,84
115.123,83
101.788,84
24.824,33
14.292,64
20.088,76
26.4,58
19.253,57
16.529,62
37.878,80
83.948,44
135.118,81
73.327,43
25.974,24
17.316,65
49.794,40
12.096,32
13.364,65
57.872,67
37.728,44
18.701,64
