LotArea,TotalBsmtSF,GrLivArea,GarageArea,SalePrice
8450,856,1710,548,208500
9600,1262,1262,460,181500
11250,920,1786,608,223500
9550,756,1717,642,140000
14260,1145,2198,836,250000
14115,796,1362,480,143000
10084,1686,1694,636,307000
10382,1107,2090,484,200000
6120,952,1774,468,129900
7420,991,1077,205,118000
11200,1040,1040,384,129500
11924,1175,2324,736,345000
12968,912,912,352,144000
10652,1494,1494,840,279500
10920,1253,1253,352,157000
6120,832,854,576,132000
11241,1004,1004,480,149000
13695,1114,1114,576,159000
7560,1029,1339,294,139000
14215,1158,2376,853,325300
7449,637,1108,280,139400
9742,1777,1795,534,230000
4224,1040,1060,572,129900
8246,1060,1060,270,154000
14230,1566,1600,890,256300
7200,900,900,576,134800
11478,1704,1704,772,306000
16321,1484,1600,319,207500
6324,520,520,240,68500
8500,649,1317,250,40000
8544,1228,1228,271,149350
11049,1234,1234,484,179900
10552,1398,1700,447,165500
7313,1561,1561,556,277500
13418,1117,2452,691,309000
10859,1097,1097,672,145000
8532,1297,1297,498,153000
7922,1057,1057,246,109000
8658,1088,1324,440,160000
16905,1350,1328,308,170000
9180,840,884,504,144000
9200,938,938,308,130250
7945,1150,1150,300,141000
7658,1752,1752,576,319900
12822,1434,2149,670,239686
11096,1656,1656,826,249700
7742,955,955,386,127000
13869,794,1470,388,177000
6240,816,1176,528,114500
8472,816,816,516,110000
50271,1842,1842,894,385000
7134,384,1360,572,130000
10175,1425,1425,576,180500
2645,970,1739,480,172500
11645,860,1720,565,196500
13682,1410,2945,641,438780
7200,780,780,352,124900
13072,1158,1158,576,158000
7200,530,1111,288,101000
6442,1370,1370,484,202500
10300,576,1710,480,140000
9375,1057,2034,645,219500
9591,1143,2473,852,317000
19900,1947,2207,576,180000
10665,1453,1479,558,226000
4608,747,747,220,80000
15593,1304,2287,667,225000
13651,2223,2223,516,244000
7599,845,845,360,129500
10141,832,1718,427,185000
10200,1086,1086,490,144900
5790,840,1605,379,107400
1596,462,988,297,91000
8475,952,952,283,135750
8635,672,1285,240,127000
10440,440,1230,440,110000
13000,896,2142,509,193500
4500,1237,1337,405,153500
10206,1563,1563,758,245000
8892,1065,1065,461,126500
8530,384,1474,400,168500
16059,1288,2417,462,260000
11911,684,1560,400,174000
3951,612,1224,528,164500
8500,1235,1235,480,98600
13360,876,964,432,163500
7200,1214,2291,506,133900
9337,824,1786,684,204750
9765,680,1470,420,185000
10264,1588,1588,472,214000
10921,960,960,432,94750
10625,458,835,366,83000
10603,1610,1610,480,205000
9206,741,1732,476,178000
10402,1226,1226,740,198900
7758,1040,1818,240,169500
9375,1053,1992,648,250000
10800,641,1047,273,100000
6000,789,789,250,115000
11751,1844,1844,546,190000
9525,994,1855,325,136900
7750,384,1430,400,180000
9965,1264,2696,792,383970
21000,1809,2259,450,217000
7259,1028,2320,180,259500
3230,729,1458,440,176000
11616,1092,1092,288,139000
8536,1125,1125,430,155000
12376,1673,3222,594,320000
8461,728,1456,390,163990
21453,938,988,540,180000
6060,732,1123,264,100000
9464,1080,1080,288,136000
7892,1199,1199,530,153900
17043,1362,1586,435,181000
4928,1078,958,440,128000
7590,660,1348,453,155000
8973,1008,1053,750,150000
14200,924,2157,487,226000
12224,992,2054,390,244000
7388,1063,1327,624,150750
6853,1267,1296,471,220000
10335,1461,1721,440,180000
10400,1304,1682,530,174000
10355,1214,1214,318,143000
11070,1907,1959,766,171000
9066,1004,1852,660,230000
15426,928,1764,470,231500
11645,1734,1734,660,260000
8520,910,1385,720,166000
10335,1490,1501,577,204000
9100,1728,1728,504,125000
2522,970,1709,380,130000
6120,715,875,180,105000
9505,884,2035,434,222500
6240,896,1344,240,115000
10356,969,969,440,122000
13891,1710,1710,866,372402
14803,825,1993,495,190000
13500,1602,1252,564,235000
11340,1200,1200,312,125000
12003,774,1968,680,269500
12552,991,1947,678,254900
19378,1392,2462,576,320000
11120,1232,1232,516,162500
13688,1572,2668,726,412500
12182,1541,1541,532,220000
5400,1149,1616,216,152000
10708,1617,1867,303,190000
10562,1582,2161,789,325624
8244,840,1720,440,183500
16669,1686,1707,511,228000
12358,720,1382,660,128500
31770,1080,1656,528,215000
5306,1064,1767,504,239000
10197,1362,1362,504,163000
12416,1606,1651,616,184000
12615,1202,2158,576,243000
10029,1151,2060,521,211000
13650,1052,1920,451,172500
17423,2216,2234,1166,501837
8520,968,968,480,100000
2117,756,1525,440,177000
7588,793,1802,216,200100
11426,1362,2082,484,200000
7438,504,1252,576,127000
22950,1107,3608,840,475000
9947,1188,1217,497,173000
10410,660,1656,180,135000
7018,1086,1224,528,153337
4923,1593,1593,682,286000
10570,853,2727,440,315000
7472,725,1479,484,184000
9017,1431,1431,666,192000
2522,970,1709,380,130000
7180,864,864,352,127000
2280,855,1456,440,148500
9416,1726,1726,786,311872
25419,1360,3112,795,235000
9591,1713,1713,856,274900
8546,1121,1121,440,140000
10125,1196,1279,473,171500
7000,617,1310,398,112000
4438,848,848,420,149000
3500,720,1284,240,110000
11851,1424,1442,500,180500
13673,1140,1696,349,143900
12493,1100,1100,312,141000
14364,1157,2062,454,277000
8250,1092,1092,504,145000
10420,1212,1212,460,186000
8640,900,1852,644,252678
13568,990,990,576,156000
10900,689,1392,299,161750
10011,1070,1236,447,134450
8450,1436,1436,484,210000
9906,686,1328,210,107000
15660,798,1954,431,311500
3010,1248,1248,438,167240
8990,1498,1498,675,204900
8068,1010,2267,390,200000
11475,713,1552,434,179900
10500,864,864,576,97000
13472,2392,2392,968,386250
1680,630,1302,280,112000
9950,1203,2520,721,290000
1869,483,987,280,106000
8521,912,912,336,125000
3182,1373,1555,430,192500
8760,1194,1194,312,148000
15138,1462,2794,810,403000
1680,483,987,288,94500
10650,894,894,308,128200
7851,860,1960,440,216500
1680,483,987,264,89500
8773,1414,1414,494,185500
9453,996,1744,457,194500
12030,1694,1694,818,318000
8741,735,1487,220,113000
9000,1566,1566,750,262500
5000,540,1440,352,79000
10762,626,1217,288,120000
8880,948,2110,463,205000
10400,1845,1872,604,241500
9142,1020,1928,440,137000
11310,1367,1375,451,140000
11317,840,1668,500,180000
159000,1444,2144,389,277000
4750,1573,1625,538,235000
8366,798,1640,520,173000
9350,1302,1302,309,158000
8400,1314,1314,294,145000
8738,975,2291,429,230000
8791,864,1728,673,207500
8814,1604,1604,660,220000
12435,963,1792,564,231500
19296,1362,1382,884,176000
9588,1482,2574,868,276000
8471,506,1212,492,151000
5500,926,1316,484,130000
5232,680,764,504,73000
12090,1422,1422,576,175500
11207,802,1511,413,185000
8400,720,2192,240,179500
6900,740,778,924,120500
7917,1143,1113,504,148000
10728,1095,1939,1053,266000
39104,1385,1363,439,241500
11764,1152,2270,671,290000
9600,1240,1632,338,139000
8314,816,816,264,124500
7264,952,1548,672,205000
9196,1560,1560,573,201000
19138,864,864,400,141000
14450,2121,2121,732,415298
10005,1160,2022,505,192000
11287,807,1982,575,228500
7200,1262,1262,572,185000
5063,1314,1314,626,207500
9612,1468,1468,898,244600
8012,1575,1575,529,179200
4251,625,1250,528,164700
9786,912,1734,440,159000
9819,882,900,280,122000
8730,698,1396,384,153575
15611,1079,1919,685,233230
11409,768,1716,281,131000
16659,795,2263,539,235000
9600,1416,1644,418,167000
7937,1003,1003,588,142500
13710,910,1558,282,152000
7399,975,1950,576,239000
11700,702,1743,539,175000
14000,1092,1152,300,158500
15750,1165,1336,375,157000
16226,1028,2452,683,267000
13704,1541,1541,843,205000
9800,894,894,552,149900
18386,1470,3493,870,295000
10386,2000,2000,888,305900
13474,700,2243,746,225000
12342,861,861,539,82500
12378,1896,1944,708,360000
7685,697,1501,420,165600
8000,972,972,240,132000
7800,793,1118,410,119900
215245,2136,2036,513,375000
9600,728,1641,546,178000
7795,716,1432,432,188500
13005,845,2353,484,260000
9000,1088,1959,1025,270000
9900,1347,2646,656,260000
14115,1372,1472,588,187500
16259,1249,2596,840,342643
12099,1136,2468,872,354000
10380,1502,2730,576,301000
5820,1162,1163,220,126175
11275,710,2978,564,242000
5000,720,803,360,87000
10846,1719,1719,473,324000
11600,1383,1383,292,145250
11888,844,2134,441,214500
6402,596,1192,189,78000
10624,1728,1728,352,119000
8176,1056,1056,308,139000
10655,3206,1629,880,284000
8198,1358,1358,484,207000
9042,943,1638,472,192000
164660,1499,1786,529,228950
14157,1922,1922,676,377426
9135,1536,1536,532,214000
14145,1208,1621,440,202500
12400,1215,1215,297,155000
14191,967,1908,431,202900
8400,721,841,294,82000
8849,1684,1684,564,266000
2592,536,1112,336,85000
6435,972,1577,312,140200
12772,958,958,301,151500
17600,1478,1478,498,157500
2448,764,1626,474,154000
20431,1848,2728,706,437154
7820,1869,1869,617,318061
5271,1453,1453,445,190000
9084,616,1111,200,95000
8520,624,720,484,105900
8400,940,1595,240,140000
11249,1200,1200,521,177500
9248,1158,1167,400,173000
4224,1142,1142,528,134000
6930,1062,1352,288,130000
12011,1086,1924,592,280000
7540,888,912,470,156000
9144,883,1505,240,145000
1680,483,987,264,118000
18800,796,1574,566,190000
10690,672,1344,468,147000
9500,1394,1394,514,159000
9150,1099,1431,296,165000
7800,1268,1268,244,132000
9830,1063,1287,576,162000
8121,953,1664,460,172400
7175,744,752,264,125000
10634,608,1319,270,123000
8200,847,1928,434,219500
8846,870,914,576,148000
11143,1580,2466,610,340000
11394,1856,1856,834,394432
8123,982,1800,463,179000
5000,1026,1691,308,127000
7200,1293,1301,572,187750
9245,939,1797,639,213500
9000,784,784,360,76000
53107,1580,1953,501,240000
3182,1256,1269,430,192000
7200,1041,1125,352,125000
9382,1468,1479,577,191000
12474,1682,2332,846,426000
8405,861,1367,384,119000
12209,804,1961,560,215000
10134,735,1034,240,109000
9571,1144,1144,596,129000
7200,894,894,600,123000
7590,864,1812,264,169500
8967,961,1077,338,67000
8125,1092,1550,438,241000
14963,1260,1288,500,245500
8767,1310,1310,400,164990
10200,672,672,240,108000
12090,1141,2263,420,258000
10364,806,1572,373,168000
9991,1281,1620,490,150000
10480,1064,1639,240,115000
15576,840,1680,308,177000
14154,1063,2172,947,280000
10800,1034,2078,836,339750
9571,1276,1276,350,60000
34650,1056,1056,572,145000
4403,1470,1478,484,222000
8960,1008,1028,360,115000
11228,1080,2097,678,228000
8899,1340,1340,396,181134
7844,672,1400,440,149500
22420,1370,2624,864,239000
8160,756,1134,240,126000
8450,1056,1056,304,142000
7060,1344,1344,784,206300
16635,1602,1602,529,215000
21750,988,988,520,113000
9200,1470,2630,696,315000
9000,1196,1196,297,139000
3378,651,1389,240,135000
12800,1518,1644,569,275000
8593,907,907,352,109008
6762,1208,1208,628,195400
11457,1392,1412,576,175000
1680,483,987,264,85400
1920,765,1365,440,122500
10839,926,1604,470,181000
10667,799,1661,550,212000
4400,648,1118,440,116000
6000,884,904,180,119000
4280,440,694,352,90350
12354,684,1196,528,110000
15431,3094,2402,672,555000
6240,1078,1573,360,162900
3922,1258,1258,648,172500
8750,915,1908,493,210000
9855,1436,1689,480,127500
16492,1517,1888,578,190000
11214,930,1886,431,199900
8600,780,1376,198,119500
6000,649,1183,308,120000
5684,813,813,270,110000
70761,1533,1533,576,280000
9303,872,1756,422,204000
9000,768,1590,676,210000
9297,1728,1728,560,188000
9600,1242,1242,528,175500
4571,624,1344,513,98000
53227,1364,1663,529,256000
5100,588,1666,228,161000
7015,709,1203,352,110000
8004,832,1935,552,263435
7200,560,1135,576,155000
8281,864,864,360,62383
11988,715,1660,240,188700
3072,1375,1414,398,178740
10628,1277,1277,526,167000
9480,728,1644,312,146500
11428,1626,1634,866,250000
9291,832,1710,506,187000
6820,1488,1502,528,212000
11952,808,1969,534,190000
3675,547,1072,525,148000
14977,1976,1976,908,440000
5330,1494,1652,499,251000
8480,970,970,624,132500
13125,1478,1493,508,208900
13693,2153,2643,694,380000
10637,1705,1718,826,297000
5925,907,1131,672,89471
16033,1833,1850,772,326000
11846,1792,1792,874,374000
2500,910,1826,164,155000
4500,1216,1216,402,164000
7758,999,999,264,132500
9600,1113,1113,264,147000
10289,1073,1073,515,156000
12243,1484,1484,487,175000
10800,954,2414,520,160000
1526,630,630,286,86000
2665,264,1304,336,115000
9490,806,1578,240,133000
15578,728,1456,429,172785
7931,1269,1269,308,155000
5784,190,886,273,91300
12692,3200,3228,546,430000
9120,1026,1820,240,184000
7800,864,899,288,130000
7535,912,912,297,120000
1890,672,1218,264,113000
9803,866,1768,603,226700
9170,1214,1214,461,140000
15602,1501,1801,484,289000
2308,855,1322,440,147000
7596,960,1960,400,124500
9554,777,1911,471,215000
7862,1218,1218,676,208300
9600,689,1378,360,161000
9600,1041,1041,270,124500
14559,1008,1363,288,164900
6792,1368,1368,474,202665
9100,864,864,624,129900
9187,1084,1080,484,134000
10594,768,789,200,96500
12220,2006,2020,900,402861
10448,689,2119,583,158000
10208,1264,2344,889,265000
9531,794,1796,546,211000
10918,1276,2080,282,234000
11988,1244,1244,336,150000
5000,1004,1664,420,159000
40094,3138,4676,884,184750
11787,1379,2398,834,315750
7500,1257,1266,453,176000
13300,928,928,252,132000
14948,1452,2713,858,446261
32668,2035,2515,484,200624
10200,1461,1509,600,175000
6155,611,1362,502,128000
9056,707,1414,403,178000
8924,880,1724,527,188000
12735,864,864,576,111250
11553,1051,1159,336,158000
11423,1581,1601,670,272000
14601,1838,1838,765,315000
11000,969,2285,648,248000
10140,1650,1680,583,213250
4058,723,767,367,133000
17104,654,1496,426,179665
13837,1204,2183,786,229000
8737,1065,1635,440,210000
7244,768,768,624,129500
8235,825,825,720,125000
9375,912,2094,615,263000
4043,1069,1069,440,140000
6000,928,928,288,112500
11146,1709,1717,908,255500
10625,998,2046,871,284000
6380,993,1048,280,113000
14850,1092,1092,299,141000
11040,637,1336,570,108000
21872,729,1446,406,175000
3196,1374,1557,420,234000
11341,1392,1392,528,121500
10010,1389,1389,418,170000
21780,1163,1674,396,185000
13346,1095,2295,590,268000
6858,806,1647,216,128000
11198,1122,2504,656,325000
10171,1517,1535,532,214000
12327,1496,2132,612,316600
7032,943,943,600,135960
13101,1728,1728,576,142600
7332,864,864,288,120000
13159,846,1692,650,224500
9967,384,1430,400,170000
10500,372,1109,288,139000
8480,832,1216,336,118500
6292,861,1477,216,145000
11777,1164,1320,564,164500
3604,689,1392,540,146000
12150,1050,1795,352,131500
14585,1144,1429,572,181900
12704,2042,2042,1390,253293
13500,1237,2775,880,325000
6120,884,1573,240,133000
11443,1868,2028,880,369900
10267,816,838,275,130000
8740,840,860,528,137000
25095,1437,1473,452,143000
9100,742,935,308,79500
