TV,Radio
4793,158
8325,35
2507,149
962,624
1351,93
8887,165
10989,45
9811,50
1785,116
2450,93
3039,116
6468,44
5521,175
4373,363
2710,232
1073,248
8274,358
1833,98
5182,303
6498,116
6577,80
3057,407
3741,40
2664,44
1739,180
1259,88
1599,105
4468,116
961,369
3144,250
11587,116
6596,148
6829,346
11077,127
3178,454
4044,35
2640,372
7153,28
3651,493
5003,26
2175,49
4772,57
15184,53
3666,189
4276,439
7545,70
19194,300
3750,360
3850,180
12050,20
1238,56
5226,82
8000,313
2492,328
4719,63
8064,149
11374,108
7036,3
5704,120
3855,140
4166,35
4429,92
7036,261
3742,1
668,12
6437,202
2390,590
3784,82
516,244
3807,119
5171,175
2395,244
3636,13
3401,20
2586,92
6088,95
11046,130
1308,40
4871,139
5665,220
6555,141
4259,171
12277,121
4881,18
6656,68
16054,252
2938,61
9335,41
1883,195
12500,82
9662,175
7114,495
9706,66
4738,23
7993,32
6150,90
1693,591
6925,74
3523,315
1592,320
7826,1229
3792,1
5037,207
2435,65
3021,314
3138,6
798,239
4683,38
2897,585
2086,326
2163,15
8416,135
5113,449
2129,118
5133,201
3950,91
2662,132
7059,181
388,101
8493,11
5333,317
5013,182
2211,17
2489,21
4614,29
5349,54
7171,221
4129,16
5613,165
2428,17
2460,84
9327,324
4728,21
3753,55
10009,93
3789,30
8750,194
6804,44
3012,303
18281,132
1680,199
5354,1
3781,146
11792,152
11329,33
3144,152
3163,215
3264,11
4647,99
6652,60
2739,113
4908,109
10408,114
3582,381
4208,144
6170,75
5010,678
1587,290
4724,90
6683,250
6688,247
608,6
2435,98
3526,227
6015,98
645,178
5853,93
11227,304
5845,320
3026,122
3762,41
8191,475
6866,309
4875,537
5687,108
3999,9
2648,29
3400,75
5574,277
3377,201
3908,459
2597,343
9694,51
3438,275
11872,39
3691,18
875,124
10392,30
844,247
8076,297
2261,1
2790,41
1387,88
1297,112
2082,563
10427,135
3269,23
829,769
2678,218
4523,516
4786,231
9311,50
4576,66
2577,39
4304,531
4576,58
2682,32
5949,107
4273,575
4448,124
4784,94
1753,270
8229,123
1791,253
1537,25
2530,93
6566,346
9721,84
11944,414
4797,386
9409,95
3865,28
2082,234
3206,70
1179,119
4194,238
1343,65
769,341
5096,253
8047,481
2055,35
6024,107
3043,65
8175,98
1131,62
2349,153
5153,1
14773,137
4094,166
20469,98
10507,68
5633,122
3846,219
5687,118
1522,225
4020,460
4475,61
10984,465
3160,481
3873,348
6915,51
615,344
1113,543
6083,211
2650,43
3918,402
8494,59
6233,596
2913,80
1575,441
4489,197
1447,162
3868,259
2324,378
1553,143
4117,206
6723,444
7341,359
9212,52
2496,167
10593,108
3627,329
2256,3
6300,52
3376,36
2726,30
4155,121
6099,78
3721,388
7513,821
5677,97
6880,348
2364,235
9146,116
2686,838
6351,303
7512,203
2130,18
5476,29
7267,157
6008,310
2995,57
4323,98
7542,48
11063,247
2202,19
15183,293
4773,357
11286,92
3300,699
4176,54
2759,116
5861,374
6345,169
8265,42
1955,222
515,139
1550,109
2373,188
4829,13
4791,170
6210,10
6563,121
3833,13
8706,48
5076,73
3046,230
5320,188
5572,42
2668,169
3005,339
1681,417
1529,32
4340,341
5815,308
6446,22
2958,676
5380,457
3670,105
6917,69
5354,29
8819,215
724,12
2419,1
4049,94
1353,133
5576,25
2154,52
9800,161
5697,86
3466,147
4516,104
7074,419
1874,309
2156,459
9608,77
6292,700
1184,1097
1026,106
7090,104
4057,594
4311,56
2526,322
4587,278
8865,55
7026,98
4670,318
3806,10
4858,30
1987,501
8196,233
4043,230
1091,1067
4686,182
2865,102
4401,6
8019,616
1265,157
3643,59
5732,12
5846,15
2754,60
3833,879
3655,57
2091,76
2876,15
6874,61
6130,431
1611,244
5632,259
1576,85
5238,38
6693,151
1399,248
5013,152
6154,217
6218,359
1946,97
5274,290
10087,170
13090,27
8889,140
6864,277
5538,192
4180,54
5301,497
1781,522
7953,421
7712,136
9070,116
6060,82
2684,336
1342,182
2678,9
5208,101
5681,138
8223,79
8764,333
4482,5
784,206
4131,8
4692,393
4397,259
3041,179
2070,241
5165,649
8776,14
8045,207
5198,32
4235,84
6465,58
1352,481
8290,171
5012,296
5103,18
2051,124
12959,57
10953,52
16200,97
4590,388
6940,200
2985,240
2346,27
859,251
9125,442
8502,82
1464,19
4662,10
1704,306
6532,440
9292,132
5432,334
7979,597
4195,85
9265,172
6171,77
4557,241
1849,284
13543,141
2300,96
717,76
5895,287
4590,115
3809,42
4950,15
4277,2
1902,91
4287,458
1809,142
765,190
5067,10
6777,2
2638,125
938,516
5683,162
8814,69
6038,1117
2910,110
1293,535
7298,88
4017,124
3979,123
7127,2
12561,62
10953,31
2168,52
6900,529
384,416
1538,29
849,68
3497,76
8601,19
4293,97
4300,253
4059,76
5355,12
3971,23
2601,758
556,72
6151,86
5333,16
1004,672
6310,46
7997,150
6398,476
4560,87
4519,31
1857,128
7237,70
1496,122
