model,year,mileage,tax,mpg,engineSize,price
 I30,2011,59220,160,49.6,1.6,4395
 I30,2013,74200,165,50.4,1.6,5798
 I30,2013,37438,160,51.4,1.6,7199
 I30,2013,44538,160,50.4,1.6,7990
 I30,2014,37000,160,51.4,1.6,7295
 I30,2014,43057,160,51.4,1.6,7420
 I30,2014,33080,160,51.4,1.6,7924
 I30,2014,29064,165,51.4,1.6,9691
 I30,2015,33791,20,67.3,1.6,8699
 I30,2015,32745,20,67.3,1.6,8799
 I30,2015,18078,20,67.3,1.6,8995
 I30,2016,61034,20,72.4,1.6,7750
 I40,2012,68132,200,47.1,1.7,7495
 I40,2013,60790,205,47.1,1.7,6750
 I40,2013,64672,205,47.1,1.7,7485
 I40,2014,66031,200,47.1,1.7,7700
 I40,2014,66200,205,47.1,1.7,7995
 I40,2014,56078,200,47.1,1.7,8921
 I40,2015,62143,200,47.1,1.7,7952
 I40,2015,23043,200,47.1,1.7,10995
 I40,2015,17200,200,47.1,1.7,11995
 I40,2016,27712,125,56.5,1.7,11400
 I40,2018,32289,145,60.1,1.7,12499
 I40,2018,21798,145,60.1,1.7,13985
 I800,2016,53000,330,33.6,2.5,11995
 I800,2016,55088,330,33.6,2.5,12000
 I800,2016,48039,325,33.6,2.5,12711
 I800,2016,53292,330,33.6,2.5,13110
 I800,2016,27802,325,33.6,2.5,13710
 I800,2016,51446,325,33.6,2.5,14300
 I800,2016,17110,325,33.6,2.5,14998
 I800,2017,44749,145,33.6,2.5,13499
 I800,2017,41469,145,33.6,2.5,13500
 I800,2017,23870,325,33.6,2.5,14000
 I800,2017,18000,330,33.6,2.5,15499
 I800,2017,35154,325,33.6,2.5,15985
 I800,2018,46014,145,33.6,2.5,14299
 I800,2018,35845,145,33.6,2.5,14500
 I800,2018,33138,150,28,2.5,14800
 I800,2018,34886,145,28,2.5,14800
 I800,2018,35050,145,33.6,2.5,14990
 I800,2018,29746,145,31.7,2.5,15280
 I800,2018,32469,145,33.6,2.5,15299
 I800,2018,34103,145,33.6,2.5,15299
 I800,2018,34889,145,28,2.5,15498
 I800,2018,32420,145,28,2.5,15749
 I800,2018,35460,145,28,2.5,15794
 I800,2018,31917,145,33.6,2.5,15795
 I800,2018,36359,145,28,2.5,15899
 I800,2018,34605,145,28,2.5,15990
 I800,2018,35607,145,28,2.5,15990
 I800,2018,33999,145,33.6,2.5,15995
 I800,2018,32383,145,28,2.5,15995
 I800,2018,33244,145,28,2.5,15995
 I800,2018,30038,145,31.7,2.5,15999
 I800,2018,30459,145,31.7,2.5,15999
 I800,2018,33389,145,31.7,2.5,16000
 I800,2018,36862,145,28,2.5,16500
 I800,2018,33943,145,28,2.5,16699
 I800,2018,21600,150,33.6,2.5,16790
 I800,2018,32730,145,28,2.5,16990
 I800,2018,33587,145,28,2.5,16990
 I800,2018,35757,145,28,2.5,16990
 I800,2018,31360,145,28,2.5,16995
 I800,2018,32672,145,28,2.5,16995
 I800,2018,32543,145,28,2.5,17680
 I800,2018,36501,145,28,2.5,17990
 I800,2019,15927,145,28,2.5,18995
 I800,2019,14674,145,31.7,2.5,19000
 I800,2019,8491,145,31.7,2.5,19798
 I800,2019,12450,145,28,2.5,19965
 I800,2019,1477,145,31.7,2.5,19998
 I800,2019,804,145,31.7,2.5,20000
 I800,2019,4733,145,31.7,2.5,20495
 I800,2019,19266,145,28,2.5,20995
 I800,2019,10124,145,28,2.5,21980
 Santa Fe,2013,38602,260,41.5,2.2,12498
 Santa Fe,2014,51344,260,41.5,2.2,14799
 Santa Fe,2014,37006,265,41.5,2.2,15500
 Santa Fe,2015,91700,265,41.5,2.2,11500
 Santa Fe,2015,43450,265,41.5,2.2,14000
 Santa Fe,2015,54000,260,42.2,2.2,14990
 Santa Fe,2015,54991,265,41.5,2.2,15650
 Santa Fe,2015,28700,260,42.2,2.2,19000
 Santa Fe,2016,51849,235,42.2,2.2,15899
 Santa Fe,2016,42812,235,42.2,2.2,15995
 Santa Fe,2016,29448,260,41.5,2.2,16499
 Santa Fe,2016,20960,235,42.8,2.2,16999
 Santa Fe,2016,55000,235,42.8,2.2,17490
 Santa Fe,2016,26294,235,42.8,2.2,17650
 Santa Fe,2016,23656,235,42.8,2.2,17733
 Santa Fe,2016,23764,240,42.8,2.2,18500
 Santa Fe,2016,10317,235,42.8,2.2,19495
 Santa Fe,2017,42570,145,42.8,2.2,17600
 Santa Fe,2017,20599,150,42.8,2.2,18999
 Santa Fe,2017,18543,140,42.8,2.2,19500
 Santa Fe,2018,35915,145,42.8,2.2,18000
 Santa Fe,2018,31123,145,42.8,2.2,20985
 Santa Fe,2018,17189,145,42.8,2.2,21995
 Santa Fe,2018,9648,145,39.2,2.2,29500
 Santa Fe,2018,15157,145,39.2,2.2,30500
 Santa Fe,2018,12743,145,39.2,2.2,31394
 Santa Fe,2019,4566,145,42.2,2.2,26290
 Santa Fe,2019,7921,145,42.8,2.2,28990
 Santa Fe,2019,14778,145,39.8,2.2,28995
 Santa Fe,2019,13100,145,39.8,2.2,29490
 Santa Fe,2019,10035,145,42.8,2.2,30999
 Santa Fe,2019,9970,145,39.2,2.2,31269
 Santa Fe,2019,4000,145,42.8,2.2,31441
 Santa Fe,2019,9800,145,39.8,2.2,31995
 Santa Fe,2019,12000,145,39.2,2.2,31995
 Santa Fe,2019,2130,145,42.8,2.2,32450
 Santa Fe,2019,1791,145,39.2,2.2,32450
 Santa Fe,2019,10903,145,39.2,2.2,32450
 Santa Fe,2019,20,145,39.8,2.2,32489
